nominal;data;curs;cdx
1;01+09+2017;58,5454;Доллар США
1;02+09+2017;58,0557;Доллар США
1;05+09+2017;57,7817;Доллар США
1;06+09+2017;57,8503;Доллар США
1;07+09+2017;57,3387;Доллар США
1;08+09+2017;57,1411;Доллар США
1;09+09+2017;56,9966;Доллар США
1;12+09+2017;57,1694;Доллар США
1;13+09+2017;57,2656;Доллар США
1;14+09+2017;57,6679;Доллар США
1;15+09+2017;57,7706;Доллар США
1;16+09+2017;57,5336;Доллар США
1;19+09+2017;57,6242;Доллар США
1;20+09+2017;58,0993;Доллар США
1;21+09+2017;58,1290;Доллар США
1;22+09+2017;58,2242;Доллар США
1;23+09+2017;57,6527;Доллар США
1;26+09+2017;57,5660;Доллар США
1;27+09+2017;57,5186;Доллар США
1;28+09+2017;58,0102;Доллар США
1;29+09+2017;58,4255;Доллар США
1;30+09+2017;58,0169;Доллар США
1;03+10+2017;57,8134;Доллар США
1;04+10+2017;57,9375;Доллар США
1;05+10+2017;57,7832;Доллар США
1;06+10+2017;57,5811;Доллар США
1;07+10+2017;57,7612;Доллар США
1;10+10+2017;58,3151;Доллар США
1;11+10+2017;58,0713;Доллар США
1;12+10+2017;57,9210;Доллар США
1;13+10+2017;57,6869;Доллар США
1;14+10+2017;57,6196;Доллар США
1;17+10+2017;57,0861;Доллар США
1;18+10+2017;57,3392;Доллар США
1;19+10+2017;57,2721;Доллар США
1;20+10+2017;57,5706;Доллар США
1;21+10+2017;57,5118;Доллар США
1;24+10+2017;57,4706;Доллар США
1;25+10+2017;57,5852;Доллар США
1;26+10+2017;57,6140;Доллар США
1;27+10+2017;57,7643;Доллар США
1;28+10+2017;58,0833;Доллар США
1;31+10+2017;57,8716;Доллар США
1;01+11+2017;58,1179;Доллар США
1;02+11+2017;58,1557;Доллар США
1;03+11+2017;58,0869;Доллар США
1;04+11+2017;58,4296;Доллар США
1;08+11+2017;58,4557;Доллар США
1;09+11+2017;59,2480;Доллар США
1;10+11+2017;59,2527;Доллар США
1;11+11+2017;59,2808;Доллар США
1;14+11+2017;59,1823;Доллар США
1;15+11+2017;59,6207;Доллар США
1;16+11+2017;60,2490;Доллар США
1;17+11+2017;59,9898;Доллар США
1;18+11+2017;59,6325;Доллар США
1;21+11+2017;59,2746;Доллар США
1;22+11+2017;59,4604;Доллар США
1;23+11+2017;59,0061;Доллар США
1;24+11+2017;58,4622;Доллар США
1;25+11+2017;58,5318;Доллар США
1;28+11+2017;58,2773;Доллар США
1;29+11+2017;58,4125;Доллар США
1;30+11+2017;58,3311;Доллар США
1;01+12+2017;58,5814;Доллар США
1;02+12+2017;58,5182;Доллар США
1;05+12+2017;58,9911;Доллар США
1;06+12+2017;58,6924;Доллар США
1;07+12+2017;58,9281;Доллар США
1;08+12+2017;59,2948;Доллар США
1;09+12+2017;59,2811;Доллар США
1;12+12+2017;59,2348;Доллар США
1;13+12+2017;58,8370;Доллар США
1;14+12+2017;59,1446;Доллар США
1;15+12+2017;58,7082;Доллар США
1;16+12+2017;58,8987;Доллар США
1;19+12+2017;58,6940;Доллар США
1;20+12+2017;58,6117;Доллар США
1;21+12+2017;58,7170;Доллар США
1;22+12+2017;58,5596;Доллар США
1;23+12+2017;58,3152;Доллар США
1;26+12+2017;58,1989;Доллар США
